simiter,remiter,R,W,numerical,elementcount,nodecount,meshtime,tthtime,nextime
13,4,1.1326530612244899e-05,5.938775510204082e-06,2.86875e-11,50669,16342,15.740793466567993,0.906933069229126,0.4627981185913086
14,0,1.1428571428571429e-05,5.857142857142857e-06,7.64932e-11,337,115,0.37197065353393555,0.5761263370513916,0.03749871253967285
14,0,1.1428571428571429e-05,5.857142857142857e-06,3.2428e-11,3305,1110,0.8889501094818115,2.7203214168548584,0.07600784301757812
14,1,1.1428571428571429e-05,5.857142857142857e-06,3.02122e-11,16490,5536,2.947157859802246,17.69752597808838,0.18091154098510742
14,2,1.1428571428571429e-05,5.857142857142857e-06,2.98908e-11,32528,10687,7.696346759796143,40.73163294792175,0.3387434482574463
14,3,1.1428571428571429e-05,5.857142857142857e-06,2.99413e-11,44379,14344,12.31605339050293,59.65359282493591,0.4821498394012451
14,4,1.1428571428571429e-05,5.857142857142857e-06,2.99413e-11,51142,16532,16.311123847961426,0.9188232421875,0.4248232841491699
15,0,1.153061224489796e-05,5.775510204081633e-06,7.79568e-11,329,113,0.3527252674102783,0.6879479885101318,0.042270660400390625
15,0,1.153061224489796e-05,5.775510204081633e-06,3.36105e-11,3208,1077,0.8881700038909912,2.6214354038238525,0.06040167808532715
15,1,1.153061224489796e-05,5.775510204081633e-06,3.09675e-11,16234,5439,2.7860982418060303,17.10586380958557,0.21287798881530762
15,2,1.153061224489796e-05,5.775510204081633e-06,3.07444e-11,32815,10801,7.469005584716797,42.06900143623352,0.38497233390808105
15,3,1.153061224489796e-05,5.775510204081633e-06,3.07444e-11,44376,14331,13.4967679977417,0.8121788501739502,0.3145115375518799
15,4,1.153061224489796e-05,5.775510204081633e-06,3.07444e-11,44376,14331,12.310225009918213,0.8368806838989258,0.33324623107910156
16,0,1.1632653061224491e-05,5.693877551020408e-06,8.09171e-11,345,117,0.36711835861206055,0.6897146701812744,0.050818681716918945
16,0,1.1632653061224491e-05,5.693877551020408e-06,3.32673e-11,3429,1149,1.1625018119812012,2.9178943634033203,0.06268620491027832
16,1,1.1632653061224491e-05,5.693877551020408e-06,3.15361e-11,16922,5667,3.053852081298828,16.410645246505737,0.19308996200561523
16,2,1.1632653061224491e-05,5.693877551020408e-06,3.14857e-11,33285,10957,7.790295362472534,42.49737501144409,0.36406517028808594
16,3,1.1632653061224491e-05,5.693877551020408e-06,3.14857e-11,45591,14705,13.897978782653809,0.8377902507781982,0.3429405689239502
16,4,1.1632653061224491e-05,5.693877551020408e-06,3.14857e-11,45591,14705,13.02444863319397,0.8368947505950928,0.3341507911682129
17,0,1.1734693877551021e-05,5.6122448979591834e-06,8.05234e-11,341,116,0.3758726119995117,0.5687291622161865,0.03600740432739258
17,0,1.1734693877551021e-05,5.6122448979591834e-06,3.45534e-11,3166,1059,0.890045166015625,2.628237247467041,0.06278610229492188
17,1,1.1734693877551021e-05,5.6122448979591834e-06,3.25776e-11,16629,5594,2.84582781791687,17.022626876831055,0.22327375411987305
17,2,1.1734693877551021e-05,5.6122448979591834e-06,3.23488e-11,33266,10968,7.92243218421936,41.93354845046997,0.3747227191925049
17,3,1.1734693877551021e-05,5.6122448979591834e-06,3.23488e-11,46511,14988,13.815414667129517,0.961653470993042,0.33506035804748535
17,4,1.1734693877551021e-05,5.6122448979591834e-06,3.23488e-11,46511,14988,13.312470197677612,0.8603048324584961,0.349933385848999
18,0,1.1836734693877552e-05,5.530612244897959e-06,7.8492e-11,370,124,0.37805724143981934,0.7050094604492188,0.05222463607788086
18,0,1.1836734693877552e-05,5.530612244897959e-06,3.68882e-11,2939,990,1.1573729515075684,2.6165201663970947,0.05641317367553711
18,1,1.1836734693877552e-05,5.530612244897959e-06,3.41989e-11,14882,4997,2.6020264625549316,13.999730348587036,0.19252753257751465
18,2,1.1836734693877552e-05,5.530612244897959e-06,3.36705e-11,31508,10410,7.778144836425781,40.092225313186646,0.400360107421875
18,3,1.1836734693877552e-05,5.530612244897959e-06,3.36738e-11,44938,14479,12.94252872467041,60.02310919761658,0.4614384174346924
18,4,1.1836734693877552e-05,5.530612244897959e-06,3.36738e-11,52708,17029,17.07267427444458,0.9881420135498047,0.5373780727386475
19,0,1.1938775510204082e-05,5.448979591836735e-06,7.95371e-11,361,122,0.3310074806213379,0.5547804832458496,0.037790775299072266
19,0,1.1938775510204082e-05,5.448979591836735e-06,3.74604e-11,2967,997,0.8947858810424805,2.377760887145996,0.0578150749206543
19,1,1.1938775510204082e-05,5.448979591836735e-06,3.50784e-11,15023,5048,2.7610981464385986,15.874459028244019,0.16891145706176758
19,2,1.1938775510204082e-05,5.448979591836735e-06,3.45774e-11,32326,10642,7.8750433921813965,41.322680711746216,0.4441218376159668
19,3,1.1938775510204082e-05,5.448979591836735e-06,3.45709e-11,45050,14545,13.003440856933594,60.63226056098938,0.45320892333984375
19,4,1.1938775510204082e-05,5.448979591836735e-06,3.45709e-11,52656,17030,17.802385091781616,0.9355771541595459,0.47593092918395996
20,0,1.2040816326530614e-05,5.36734693877551e-06,8.24137e-11,365,123,0.3807523250579834,0.58186936378479,0.03876638412475586
20,0,1.2040816326530614e-05,5.36734693877551e-06,3.90693e-11,2833,953,0.8866510391235352,2.389491558074951,0.06113290786743164
20,1,1.2040816326530614e-05,5.36734693877551e-06,3.62845e-11,14264,4797,2.5542373657226562,15.418810367584229,0.16785073280334473
20,2,1.2040816326530614e-05,5.36734693877551e-06,3.55872e-11,31392,10352,7.552708387374878,39.142940044403076,0.3593769073486328
20,3,1.2040816326530614e-05,5.36734693877551e-06,3.55175e-11,45054,14539,13.534841299057007,59.08046627044678,0.499462366104126
20,4,1.2040816326530614e-05,5.36734693877551e-06,3.55175e-11,52513,16982,18.475571393966675,0.9448962211608887,0.43762874603271484
21,0,1.2142857142857144e-05,5.285714285714286e-06,7.69726e-11,401,133,0.3677704334259033,0.5741806030273438,0.037688493728637695
21,0,1.2142857142857144e-05,5.285714285714286e-06,4.36475e-11,2272,769,0.8842883110046387,1.8148689270019531,0.05489325523376465
21,1,1.2142857142857144e-05,5.285714285714286e-06,3.77743e-11,12164,4107,2.262416124343872,12.122247695922852,0.14703369140625
21,2,1.2142857142857144e-05,5.285714285714286e-06,3.66755e-11,30381,10041,6.575237035751343,37.004607915878296,0.37438154220581055
21,3,1.2142857142857144e-05,5.285714285714286e-06,3.67072e-11,44514,14401,11.880715131759644,59.37349534034729,0.5101330280303955
21,4,1.2142857142857144e-05,5.285714285714286e-06,3.67072e-11,53418,17274,17.928934335708618,1.0782794952392578,0.4139716625213623
22,0,1.2244897959183674e-05,5.204081632653062e-06,7.56422e-11,429,140,0.38964390754699707,0.5690288543701172,0.03811216354370117
22,0,1.2244897959183674e-05,5.204081632653062e-06,4.30454e-11,2271,768,0.8196046352386475,1.7176480293273926,0.050323486328125
22,1,1.2244897959183674e-05,5.204081632653062e-06,3.91829e-11,11930,4014,2.16813063621521,11.597360849380493,0.1682140827178955
22,2,1.2244897959183674e-05,5.204081632653062e-06,3.76552e-11,29714,9869,6.618654489517212,35.691516399383545,0.31064820289611816
22,3,1.2244897959183674e-05,5.204081632653062e-06,3.76529e-11,43983,14221,14.418561458587646,58.239808320999146,0.47195911407470703
22,4,1.2244897959183674e-05,5.204081632653062e-06,3.76529e-11,52567,16988,18.296767711639404,0.9147260189056396,0.4250664710998535
23,0,1.2346938775510204e-05,5.1224489795918365e-06,8.23997e-11,389,131,0.44161391258239746,0.6031982898712158,0.04557490348815918
23,0,1.2346938775510204e-05,5.1224489795918365e-06,4.29443e-11,2408,813,0.9552719593048096,1.9100589752197266,0.051494598388671875
23,1,1.2346938775510204e-05,5.1224489795918365e-06,4.01503e-11,12671,4262,2.2688074111938477,12.623484373092651,0.15184712409973145
23,2,1.2346938775510204e-05,5.1224489795918365e-06,3.89386e-11,30954,10227,6.938847303390503,38.093098640441895,0.313443660736084
23,3,1.2346938775510204e-05,5.1224489795918365e-06,3.89386e-11,45485,14699,12.884438037872314,0.8736803531646729,0.31314992904663086
23,4,1.2346938775510204e-05,5.1224489795918365e-06,3.89386e-11,45485,14699,11.853448152542114,0.8665103912353516,0.31812572479248047
24,0,1.2448979591836735e-05,5.040816326530612e-06,8.16807e-11,405,135,0.4185211658477783,0.727407693862915,0.051404714584350586
24,0,1.2448979591836735e-05,5.040816326530612e-06,5.68854e-11,2652,889,0.9243078231811523,2.18298602104187,0.055275678634643555
24,1,1.2448979591836735e-05,5.040816326530612e-06,5.6907e-11,12581,4223,2.551117181777954,0.4314267635345459,0.05861663818359375
24,2,1.2448979591836735e-05,5.040816326530612e-06,5.6907e-11,12581,4223,2.4700207710266113,0.43196797370910645,0.055665016174316406
24,3,1.2448979591836735e-05,5.040816326530612e-06,5.6907e-11,12581,4223,2.6691806316375732,0.42839598655700684,0.0583033561706543
24,4,1.2448979591836735e-05,5.040816326530612e-06,5.6907e-11,12581,4223,2.4461848735809326,0.4219348430633545,0.054239511489868164
25,0,1.2551020408163267e-05,4.959183673469388e-06,8.21522e-11,384,130,0.4140126705169678,0.652472734451294,0.04174470901489258
25,0,1.2551020408163267e-05,4.959183673469388e-06,5.75034e-11,2183,751,0.818164587020874,1.7057876586914062,0.052051544189453125
25,1,1.2551020408163267e-05,4.959183673469388e-06,4.27035e-11,10601,3581,2.180436134338379,9.634929418563843,0.12670350074768066
25,2,1.2551020408163267e-05,4.959183673469388e-06,4.14225e-11,29601,9842,6.210757493972778,32.89941453933716,0.33298206329345703
25,3,1.2551020408163267e-05,4.959183673469388e-06,4.14225e-11,45963,14903,13.238911151885986,0.8789446353912354,0.3191545009613037
25,4,1.2551020408163267e-05,4.959183673469388e-06,4.14225e-11,45963,14903,12.54268193244934,0.8597078323364258,0.30767226219177246
26,0,1.2653061224489797e-05,4.8775510204081635e-06,8.36082e-11,402,134,0.3970508575439453,0.565993070602417,0.03769111633300781
26,0,1.2653061224489797e-05,4.8775510204081635e-06,6.10094e-11,1961,661,0.7493762969970703,1.5414958000183105,0.049094438552856445
26,1,1.2653061224489797e-05,4.8775510204081635e-06,4.37964e-11,10178,3421,2.1422998905181885,8.8574857711792,0.11798977851867676
26,2,1.2653061224489797e-05,4.8775510204081635e-06,4.25435e-11,28663,9544,6.028649091720581,30.809186458587646,0.3055729866027832
26,3,1.2653061224489797e-05,4.8775510204081635e-06,4.25079e-11,45102,14656,12.274125099182129,57.7318594455719,0.4503014087677002
26,4,1.2653061224489797e-05,4.8775510204081635e-06,4.25079e-11,55138,17755,18.611103296279907,1.0952346324920654,0.44086670875549316
27,0,1.2755102040816327e-05,4.795918367346939e-06,8.26267e-11,405,136,0.3575563430786133,0.604604959487915,0.03752422332763672
27,0,1.2755102040816327e-05,4.795918367346939e-06,5.63681e-11,2057,688,0.8263282775878906,1.5656061172485352,0.05023455619812012
